"date","sales"
01/01/20,252
02/01/20,332
03/01/20,227
04/01/20,293
05/01/20,238
06/01/20,220
07/01/20,293
08/01/20,236
09/01/20,318
10/01/20,253
11/01/20,331
12/01/20,247
13/01/20,372
14/01/20,313
15/01/20,319
16/01/20,374
17/01/20,387
18/01/20,227
19/01/20,201
20/01/20,210
21/01/20,253
22/01/20,375
23/01/20,331
24/01/20,265
25/01/20,304
26/01/20,274
27/01/20,285
28/01/20,375
29/01/20,367
30/01/20,365
31/01/20,269
01/02/20,246
02/02/20,364
03/02/20,273
04/02/20,257
05/02/20,397
06/02/20,381
07/02/20,263
08/02/20,292
09/02/20,238
10/02/20,367
11/02/20,321
12/02/20,242
13/02/20,334
14/02/20,275
15/02/20,349
16/02/20,362
17/02/20,382
18/02/20,358
19/02/20,308
20/02/20,248
21/02/20,317
22/02/20,205
23/02/20,250
24/02/20,203
25/02/20,291
26/02/20,329
27/02/20,235
28/02/20,219
29/02/20,364
01/03/20,384
02/03/20,343
03/03/20,201
04/03/20,220
05/03/20,311
06/03/20,235
07/03/20,340
08/03/20,221
09/03/20,392
10/03/20,270
11/03/20,270
12/03/20,297
13/03/20,246
14/03/20,301
15/03/20,281
16/03/20,383
17/03/20,207
18/03/20,202
19/03/20,383
20/03/20,303
21/03/20,267
22/03/20,257
23/03/20,323
24/03/20,335
25/03/20,342
26/03/20,224
27/03/20,248
28/03/20,200
29/03/20,203
30/03/20,259
31/03/20,364
01/04/20,625
02/04/20,425
03/04/20,575
04/04/20,533
05/04/20,462
06/04/20,503
07/04/20,678
08/04/20,430
09/04/20,689
10/04/20,564
11/04/20,468
12/04/20,473
13/04/20,639
14/04/20,615
15/04/20,511
16/04/20,681
17/04/20,609
18/04/20,557
19/04/20,445
20/04/20,612
21/04/20,436
22/04/20,636
23/04/20,456
24/04/20,585
25/04/20,542
26/04/20,441
27/04/20,457
28/04/20,417
29/04/20,648
30/04/20,429
01/05/20,622
02/05/20,478
03/05/20,457
04/05/20,534
05/05/20,475
06/05/20,662
07/05/20,495
08/05/20,695
09/05/20,552
10/05/20,429
11/05/20,417
12/05/20,632
13/05/20,446
14/05/20,473
15/05/20,602
16/05/20,620
17/05/20,486
18/05/20,638
19/05/20,642
20/05/20,618
21/05/20,660
22/05/20,541
23/05/20,602
24/05/20,478
25/05/20,599
26/05/20,464
27/05/20,494
28/05/20,486
29/05/20,577
30/05/20,646
31/05/20,553
01/06/20,666
02/06/20,416
03/06/20,494
04/06/20,414
05/06/20,461
06/06/20,491
07/06/20,493
08/06/20,498
09/06/20,524
10/06/20,573
11/06/20,456
12/06/20,524
13/06/20,514
14/06/20,474
15/06/20,489
16/06/20,449
17/06/20,622
18/06/20,673
19/06/20,420
20/06/20,668
21/06/20,597
22/06/20,537
23/06/20,480
24/06/20,470
25/06/20,580
26/06/20,574
27/06/20,456
28/06/20,534
29/06/20,658
30/06/20,458
01/07/20,772
02/07/20,858
03/07/20,794
04/07/20,809
05/07/20,818
06/07/20,806
07/07/20,763
08/07/20,868
09/07/20,803
10/07/20,735
11/07/20,757
12/07/20,813
13/07/20,861
14/07/20,839
15/07/20,877
16/07/20,821
17/07/20,785
18/07/20,724
19/07/20,849
20/07/20,768
21/07/20,842
22/07/20,763
23/07/20,780
24/07/20,738
25/07/20,740
26/07/20,763
27/07/20,838
28/07/20,877
29/07/20,828
30/07/20,869
31/07/20,724
01/08/20,790
02/08/20,733
03/08/20,826
04/08/20,787
05/08/20,840
06/08/20,850
07/08/20,767
08/08/20,869
09/08/20,794
10/08/20,881
11/08/20,731
12/08/20,842
13/08/20,721
14/08/20,804
15/08/20,726
16/08/20,841
17/08/20,886
18/08/20,819
19/08/20,791
20/08/20,858
21/08/20,773
22/08/20,706
23/08/20,745
24/08/20,781
25/08/20,853
26/08/20,781
27/08/20,736
28/08/20,756
29/08/20,779
30/08/20,762
31/08/20,792
01/09/20,867
02/09/20,739
03/09/20,833
04/09/20,705
05/09/20,899
06/09/20,775
07/09/20,801
08/09/20,758
09/09/20,716
10/09/20,776
11/09/20,742
12/09/20,753
13/09/20,768
14/09/20,722
15/09/20,701
16/09/20,829
17/09/20,738
18/09/20,769
19/09/20,823
20/09/20,830
21/09/20,792
22/09/20,792
23/09/20,723
24/09/20,831
25/09/20,772
26/09/20,780
27/09/20,838
28/09/20,882
29/09/20,897
30/09/20,790
01/10/20,982
02/10/20,906
03/10/20,1072
04/10/20,1064
05/10/20,1059
06/10/20,967
07/10/20,901
08/10/20,906
09/10/20,1044
10/10/20,996
11/10/20,964
12/10/20,1029
13/10/20,979
14/10/20,1010
15/10/20,989
16/10/20,921
17/10/20,941
18/10/20,900
19/10/20,1029
20/10/20,982
21/10/20,1054
22/10/20,1011
23/10/20,1098
24/10/20,1050
25/10/20,1026
26/10/20,1005
27/10/20,974
28/10/20,957
29/10/20,1035
30/10/20,1000
31/10/20,912
01/11/20,1050
02/11/20,1046
03/11/20,1049
04/11/20,1007
05/11/20,923
06/11/20,935
07/11/20,943
08/11/20,1084
09/11/20,902
10/11/20,975
11/11/20,1069
12/11/20,953
13/11/20,971
14/11/20,1081
15/11/20,1024
16/11/20,977
17/11/20,1053
18/11/20,1067
19/11/20,1034
20/11/20,919
21/11/20,1036
22/11/20,942
23/11/20,978
24/11/20,999
25/11/20,920
26/11/20,1049
27/11/20,1058
28/11/20,939
29/11/20,1079
30/11/20,1024
01/12/20,948
02/12/20,981
03/12/20,1038
04/12/20,937
05/12/20,1019
06/12/20,943
07/12/20,1045
08/12/20,990
09/12/20,922
10/12/20,954
11/12/20,1062
12/12/20,974
13/12/20,1018
14/12/20,931
15/12/20,1062
16/12/20,1020
17/12/20,1063
18/12/20,1047
19/12/20,1070
20/12/20,989
21/12/20,939
22/12/20,916
23/12/20,1041
24/12/20,987
25/12/20,1020
26/12/20,1055
27/12/20,1068
28/12/20,1094
29/12/20,1053
30/12/20,1063
31/12/20,1083
01/01/21,1056
02/01/21,1264
03/01/21,1145
04/01/21,1051
05/01/21,1252
06/01/21,1394
07/01/21,1090
08/01/21,1299
09/01/21,1067
10/01/21,1052
11/01/21,1350
12/01/21,1311
13/01/21,1311
14/01/21,1237
15/01/21,1321
16/01/21,1362
17/01/21,1092
18/01/21,1190
19/01/21,1116
20/01/21,1074
21/01/21,1362
22/01/21,1170
23/01/21,1056
24/01/21,1373
25/01/21,1279
26/01/21,1193
27/01/21,1246
28/01/21,1049
29/01/21,1272
30/01/21,1169
31/01/21,1189
01/02/21,1132
02/02/21,1364
03/02/21,1282
04/02/21,1366
05/02/21,1358
06/02/21,1183
07/02/21,1036
08/02/21,1232
09/02/21,1395
10/02/21,1276
11/02/21,1267
12/02/21,1244
13/02/21,1210
14/02/21,1071
15/02/21,1155
16/02/21,1064
17/02/21,1385
18/02/21,1276
19/02/21,1011
20/02/21,1075
21/02/21,1315
22/02/21,1216
23/02/21,1015
24/02/21,1051
25/02/21,1056
26/02/21,1311
27/02/21,1333
28/02/21,1224
01/03/21,1247
02/03/21,1332
03/03/21,1001
04/03/21,1233
05/03/21,1115
06/03/21,1372
07/03/21,1271
08/03/21,1353
09/03/21,1286
10/03/21,1340
11/03/21,1178
12/03/21,1096
13/03/21,1141
14/03/21,1299
15/03/21,1334
16/03/21,1215
17/03/21,1397
18/03/21,1394
19/03/21,1135
20/03/21,1219
21/03/21,1313
22/03/21,1375
23/03/21,1262
24/03/21,1288
25/03/21,1040
26/03/21,1251
27/03/21,1107
28/03/21,1330
29/03/21,1243
30/03/21,1376
31/03/21,1250
01/04/21,1565
02/04/21,1424
03/04/21,1569
04/04/21,1412
05/04/21,1527
06/04/21,1477
07/04/21,1494
08/04/21,1436
09/04/21,1401
10/04/21,1400
11/04/21,1432
12/04/21,1592
13/04/21,1564
14/04/21,1451
15/04/21,1480
16/04/21,1486
17/04/21,1498
18/04/21,1597
19/04/21,1557
20/04/21,1425
21/04/21,1471
22/04/21,1589
23/04/21,1461
24/04/21,1402
25/04/21,1417
26/04/21,1474
27/04/21,1411
28/04/21,1520
29/04/21,1551
30/04/21,1569
01/05/21,1542
02/05/21,1490
03/05/21,1594
04/05/21,1486
05/05/21,1530
06/05/21,1536
07/05/21,1507
08/05/21,1590
09/05/21,1441
10/05/21,1460
11/05/21,1571
12/05/21,1590
13/05/21,1520
14/05/21,1445
15/05/21,1551
16/05/21,1584
17/05/21,1460
18/05/21,1517
19/05/21,1480
20/05/21,1451
21/05/21,1409
22/05/21,1520
23/05/21,1581
24/05/21,1486
25/05/21,1428
26/05/21,1575
27/05/21,1406
28/05/21,1432
29/05/21,1429
30/05/21,1589
31/05/21,1513
01/06/21,1437
02/06/21,1512
03/06/21,1419
04/06/21,1430
05/06/21,1514
06/06/21,1494
07/06/21,1552
08/06/21,1420
09/06/21,1473
10/06/21,1553
11/06/21,1420
12/06/21,1458
13/06/21,1585
14/06/21,1404
15/06/21,1422
16/06/21,1465
17/06/21,1433
18/06/21,1413
19/06/21,1408
20/06/21,1583
21/06/21,1444
22/06/21,1415
23/06/21,1572
24/06/21,1565
25/06/21,1595
26/06/21,1426
27/06/21,1557
28/06/21,1480
29/06/21,1588
30/06/21,1466
01/07/21,1760
02/07/21,1651
03/07/21,1782
04/07/21,1634
05/07/21,1605
06/07/21,1606
07/07/21,1745
08/07/21,1639
09/07/21,1636
10/07/21,1776
11/07/21,1669
12/07/21,1615
13/07/21,1722
14/07/21,1758
15/07/21,1670
16/07/21,1665
17/07/21,1644
18/07/21,1607
19/07/21,1680
20/07/21,1789
21/07/21,1633
22/07/21,1670
23/07/21,1772
24/07/21,1626
25/07/21,1708
26/07/21,1612
27/07/21,1708
28/07/21,1618
29/07/21,1621
30/07/21,1710
31/07/21,1653
01/08/21,1735
02/08/21,1770
03/08/21,1709
04/08/21,1653
05/08/21,1712
06/08/21,1744
07/08/21,1655
08/08/21,1708
09/08/21,1793
10/08/21,1640
11/08/21,1762
12/08/21,1639
13/08/21,1733
14/08/21,1789
15/08/21,1788
16/08/21,1796
17/08/21,1792
18/08/21,1660
19/08/21,1699
20/08/21,1764
21/08/21,1724
22/08/21,1783
23/08/21,1687
24/08/21,1736
25/08/21,1732
26/08/21,1604
27/08/21,1725
28/08/21,1745
29/08/21,1736
30/08/21,1696
31/08/21,1788
01/09/21,1742
02/09/21,1723
03/09/21,1612
04/09/21,1787
05/09/21,1710
06/09/21,1756
07/09/21,1700
08/09/21,1670
09/09/21,1617
10/09/21,1684
11/09/21,1651
12/09/21,1642
13/09/21,1788
14/09/21,1713
15/09/21,1609
16/09/21,1764
17/09/21,1768
18/09/21,1741
19/09/21,1756
20/09/21,1692
21/09/21,1647
22/09/21,1793
23/09/21,1669
24/09/21,1639
25/09/21,1640
26/09/21,1719
27/09/21,1664
28/09/21,1688
29/09/21,1788
30/09/21,1601
01/10/21,1923
02/10/21,1864
03/10/21,1870
04/10/21,1923
05/10/21,1910
06/10/21,1957
07/10/21,1929
08/10/21,1938
09/10/21,1886
10/10/21,1901
11/10/21,1921
12/10/21,1941
13/10/21,1975
14/10/21,1938
15/10/21,1871
16/10/21,1829
17/10/21,1897
18/10/21,1977
19/10/21,1802
20/10/21,1988
21/10/21,1932
22/10/21,1960
23/10/21,1807
24/10/21,1807
25/10/21,1815
26/10/21,1843
27/10/21,1800
28/10/21,1959
29/10/21,1921
30/10/21,1887
31/10/21,1837
01/11/21,1831
02/11/21,1926
03/11/21,1898
04/11/21,1882
05/11/21,1889
06/11/21,1904
07/11/21,1859
08/11/21,1925
09/11/21,1984
10/11/21,1821
11/11/21,1821
12/11/21,1841
13/11/21,1888
14/11/21,1961
15/11/21,1930
16/11/21,1967
17/11/21,1817
18/11/21,1842
19/11/21,1910
20/11/21,1981
21/11/21,1808
22/11/21,1951
23/11/21,1804
24/11/21,1816
25/11/21,1907
26/11/21,1805
27/11/21,1883
28/11/21,1858
29/11/21,1928
30/11/21,1895
01/12/21,1829
02/12/21,1942
03/12/21,1981
04/12/21,1915
05/12/21,1931
06/12/21,1906
07/12/21,1884
08/12/21,1968
09/12/21,1831
10/12/21,1891
11/12/21,1967
12/12/21,1945
13/12/21,1905
14/12/21,1881
15/12/21,1889
16/12/21,1943
17/12/21,1867
18/12/21,1949
19/12/21,1969
20/12/21,1997
21/12/21,1996
22/12/21,1901
23/12/21,1987
24/12/21,1913
25/12/21,1915
26/12/21,1839
27/12/21,1849
28/12/21,1874
29/12/21,1899
30/12/21,1819
31/12/21,1924
